"district"	"county"	"town"	"democrat"	"republican"	"ind1"	"ind2"	"blank"	"total"	"join_id"
1	"YOR"	"KITTERY"	3326	1616			293	5235	"1 KITTERY"
2	"YOR"	"ELIOT"	2185	2029			139	4353	"2 ELIOT"
2	"YOR"	"KITTERY"	306	188			19	513	"2 KITTERY"
2	"YOR"	"SOUTH BERWICK"	605	333			25	963	"2 SOUTH BERWICK"
3	"YOR"	"YORK"	3626	2471			272	6369	"3 YORK"
4	"YOR"	"OGUNQUIT"	547	334			40	921	"4 OGUNQUIT"
4	"YOR"	"SANFORD"	771	842			109	1722	"4 SANFORD"
4	"YOR"	"WELLS"	265	278			36	579	"4 WELLS"
4	"YOR"	"YORK"	1391	1187			81	2659	"4 YORK"
5	"YOR"	"BERWICK"	1873	2012			120	4005	"5 BERWICK"
5	"YOR"	"NORTH BERWICK"	423	477			32	932	"5 NORTH BERWICK"
6	"YOR"	"NORTH BERWICK"	889	981			95	1965	"6 NORTH BERWICK"
6	"YOR"	"SOUTH BERWICK"	1849	1350			103	3302	"6 SOUTH BERWICK"
7	"YOR"	"WELLS"	2238	3722			254	6214	"7 WELLS"
8	"YOR"	"KENNEBUNK"	3774	2203			296	6273	"8 KENNEBUNK"
9	"YOR"	"BIDDEFORD"	948	719			93	1760	"9 BIDDEFORD"
9	"YOR"	"KENNEBUNK"	623	700			54	1377	"9 KENNEBUNK"
9	"YOR"	"KENNEBUNKPORT"	1101	1344			57	2502	"9 KENNEBUNKPORT"
10	"YOR"	"ARUNDEL"	899	1516			121	2536	"10 ARUNDEL"
10	"YOR"	"DAYTON"	355	842			73	1270	"10 DAYTON"
10	"YOR"	"LYMAN"	650	1074			119	1843	"10 LYMAN"
11	"YOR"	"BIDDEFORD"	3185	1507			198	4890	"11 BIDDEFORD"
12	"YOR"	"BIDDEFORD"	1847		1614		202	3663	"12 BIDDEFORD"
13	"YOR"	"OLD ORCHARD BEACH"	3267	2054			278	5599	"13 OLD ORCHARD BEACH"
14	"YOR"	"SACO"	2606	1582	991		261	5440	"14 SACO"
15	"YOR"	"SACO"	3331	1709			334	5374	"15 SACO"
16	"YOR"	"BUXTON"	1029	1732			139	2900	"16 BUXTON"
16	"YOR"	"HOLLIS"	902	1647			91	2640	"16 HOLLIS"
16	"YOR"	"SACO"	78	100			19	197	"16 SACO"
17	"YOR"	"LYMAN"	289	428			57	774	"17 LYMAN"
17	"YOR"	"WATERBORO"	1465	2329			206	4000	"17 WATERBORO"
18	"YOR"	"SANFORD"	2326	1383			262	3971	"18 SANFORD"
19	"YOR"	"SANFORD"	2168	2284			217	4669	"19 SANFORD"
20	"YOR"	"ACTON"	513	903			81	1497	"20 ACTON"
20	"YOR"	"LEBANON"	897	2181			120	3198	"20 LEBANON"
20	"YOR"	"SHAPLEIGH"	151	278			33	462	"20 SHAPLEIGH"
21	"YOR"	"ALFRED"	611	1177			85	1873	"21 ALFRED"
21	"YOR"	"LIMERICK"	408	416			30	854	"21 LIMERICK"
21	"YOR"	"NEWFIELD"	317	517			38	872	"21 NEWFIELD"
21	"YOR"	"PARSONSFIELD"	284	370			40	694	"21 PARSONSFIELD"
21	"YOR"	"SHAPLEIGH"	410	657			39	1106	"21 SHAPLEIGH"
22	"CUM"	"STANDISH"	173	219			18	410	"22 STANDISH"
22	"YOR"	"BUXTON"	968	940			90	1998	"22 BUXTON"
22	"YOR"	"LIMERICK"	341	448			29	818	"22 LIMERICK"
22	"YOR"	"LIMINGTON"	703	1325			66	2094	"22 LIMINGTON"
23	"CUM"	"STANDISH"	1790	3163			192	5145	"23 STANDISH"
24	"CUM"	"WINDHAM"	2765	2345			188	5298	"24 WINDHAM"
25	"CUM"	"WINDHAM"		3988			854	4842	"25 WINDHAM"
26	"CUM"	"GORHAM"	2297	2257			278	4832	"26 GORHAM"
27	"CUM"	"GORHAM"	2788	2178			149	5115	"27 GORHAM"
27	"CUM"	"SCARBOROUGH"	363	356			35	754	"27 SCARBOROUGH"
28	"CUM"	"SCARBOROUGH"	2732	3034			235	6001	"28 SCARBOROUGH"
29	"CUM"	"SCARBOROUGH"	2811	3181			247	6239	"29 SCARBOROUGH"
30	"CUM"	"CAPE ELIZABETH"	4096	1955			209	6260	"30 CAPE ELIZABETH"
31	"CUM"	"SOUTH PORTLAND"	4631				1130	5761	"31 SOUTH PORTLAND"
32	"CUM"	"CAPE ELIZABETH"	260				78	338	"32 CAPE ELIZABETH"
32	"CUM"	"SOUTH PORTLAND"	3906				1186	5092	"32 SOUTH PORTLAND"
33	"CUM"	"SOUTH PORTLAND"	1896	2158			198	4252	"33 SOUTH PORTLAND"
34	"CUM"	"WESTBROOK"	3901				1005	4906	"34 WESTBROOK"
35	"CUM"	"WESTBROOK"	2846	1962			306	5114	"35 WESTBROOK"
36	"CUM"	"PORTLAND"	3234				912	4146	"36 PORTLAND"
37	"CUM"	"PORTLAND"	3805				921	4726	"37 PORTLAND"
38	"CUM"	"PORTLAND"	4269	764			464	5497	"38 PORTLAND"
39	"CUM"	"PORTLAND"	4314	941			387	5642	"39 PORTLAND"
40	"CUM"	"PORTLAND"	3135				955	4090	"40 PORTLAND"
41	"CUM"	"PORTLAND"	4021	908			290	5219	"41 PORTLAND"
42	"CUM"	"PORTLAND"	3405	1309			445	5159	"42 PORTLAND"
43	"CUM"	"FALMOUTH"	986	692			101	1779	"43 FALMOUTH"
43	"CUM"	"PORTLAND"	2617	1256			225	4098	"43 PORTLAND"
44	"CUM"	"FALMOUTH"	3551	2639			210	6400	"44 FALMOUTH"
45	"CUM"	"CUMBERLAND"	3043	2293			169	5505	"45 CUMBERLAND"
45	"CUM"	"GRAY"	342	345			25	712	"45 GRAY"
46	"AND"	"DURHAM"	1075	1449			87	2611	"46 DURHAM"
46	"CUM"	"NORTH YARMOUTH"	1314	1250			92	2656	"46 NORTH YARMOUTH"
46	"CUM"	"POWNAL"	351	343			19	713	"46 POWNAL"
47	"CUM"	"CHEBEAGUE ISLAND"	210	107			12	329	"47 CHEBEAGUE ISLAND"
47	"CUM"	"LONG ISLAND"	111	56			9	176	"47 LONG ISLAND"
47	"CUM"	"YARMOUTH"	3406	2151			168	5725	"47 YARMOUTH"
48	"CUM"	"FREEPORT"	3747	1672			196	5615	"48 FREEPORT"
48	"CUM"	"POWNAL"	199	165			11	375	"48 POWNAL"
49	"CUM"	"BRUNSWICK"	3955	2038			291	6284	"49 BRUNSWICK"
50	"CUM"	"BRUNSWICK"	4476				1038	5514	"50 BRUNSWICK"
51	"CUM"	"BRUNSWICK"	846				248	1094	"51 BRUNSWICK"
51	"CUM"	"HARPSWELL"	2755				728	3483	"51 HARPSWELL"
51	"SAG"	"WEST BATH"	1000				257	1257	"51 WEST BATH"
52	"SAG"	"BATH"	2983	1659			181	4823	"52 BATH"
53	"LIN"	"DRESDEN"	342	713			34	1089	"53 DRESDEN"
53	"SAG"	"ARROWSIC"	246	96			9	351	"53 ARROWSIC"
53	"SAG"	"GEORGETOWN"	415	334			20	769	"53 GEORGETOWN"
53	"SAG"	"PHIPPSBURG"	521	892			27	1440	"53 PHIPPSBURG"
53	"SAG"	"RICHMOND"	18	59			1	78	"53 RICHMOND"
53	"SAG"	"WOOLWICH"	761	1211			51	2023	"53 WOOLWICH"
54	"SAG"	"TOPSHAM"	3102	2836			167	6105	"54 TOPSHAM"
55	"SAG"	"BOWDOIN"	829	890			45	1764	"55 BOWDOIN"
55	"SAG"	"BOWDOINHAM"	1054	796			35	1885	"55 BOWDOINHAM"
55	"SAG"	"RICHMOND"	1024	803			34	1861	"55 RICHMOND"
56	"AND"	"LISBON"	1978	2731			237	4946	"56 LISBON"
57	"AND"	"GREENE"	574	1934			89	2597	"57 GREENE"
