			Pulchlopek, Ronald S. 	Rykerson, Deane 	BLANK	TOTAL VOTES CAST	
			Kittery	Kittery			
			Republican	Democrat			
1	YOR	KITTERY	1616	3326	293	5235	
1		STATE UOCAVA	7	29	1	37	
			1623	3355	294	5272	
							
			Lawrence, Mark W. 	Moynahan, Jonathan M. 	BLANK	TOTAL VOTES CAST	
			South Berwick	Eliot			
			Democrat	Republican			
2	YOR	ELIOT	2185	2029	139	4353	
2	YOR	KITTERY	306	188	19	513	
2	YOR	SOUTH BERWICK	605	333	25	963	
2		STATE UOCAVA	20	11	8	39	
			3116	2561	191	5868	
							
			Blume, Lydia C. 	Mantell, Peter G. 	BLANK	TOTAL VOTES CAST	
			York	York			
			Democrat	Republican			
3	YOR	YORK	3626	2471	272	6369	
3		STATE UOCAVA	26	2	4	32	
			3652	2473	276	6401	
							
			Hymanson, Patricia 	Moulton, Bradley S. 	BLANK	TOTAL VOTES CAST	
			York	York			
			Democrat	Republican			
4	YOR	OGUNQUIT	547	334	40	921	
4	YOR	SANFORD	771	842	109	1722	
4	YOR	WELLS	265	278	36	579	
4	YOR	YORK	1391	1187	81	2659	
4		STATE UOCAVA	26	8	1	35	
			3000	2649	267	5916	
							
			O'Connor, Beth A. 	Plante, Joshua R. 	BLANK	TOTAL VOTES CAST	
			Berwick	Berwick			
			Republican	Democrat			
5	YOR	BERWICK	2012	1873	120	4005	
5	YOR	NORTH BERWICK	477	423	32	932	
5		STATE UOCAVA	7	5	0	12	
			2496	2301	152	4949	
							
			Gove, Manley C. 	Parker, Jennifer Ellen 	BLANK	TOTAL VOTES CAST	
			South Berwick	South Berwick			
			Republican	Democrat			
6	YOR	NORTH BERWICK	981	889	95	1965	
6	YOR	SOUTH BERWICK	1350	1849	103	3302	
6		STATE UOCAVA	2	18	3	23	
			2333	2756	201	5290	
							
			Foley, Robert Alan 	Howard, Joachim H. 	BLANK	TOTAL VOTES CAST	
			Wells	Wells			
			Republican	Democrat			
7	YOR	WELLS	3722	2238	254	6214	
7		STATE UOCAVA	8	17	4	29	
			3730	2255	258	6243	
							
			Babbidge, Christopher W. 	Ducharme, Bradley Scott 	BLANK	TOTAL VOTES CAST	
			Kennebunk	Kennebunk			
			Democrat	Republican			
