			Guerrette, Timothy C. 	Jackson, Troy Dale 	BLANK	TOTAL VOTES CAST	
			Caribou	Allagash			
			Republican	Democrat			
1	ARO	ALLAGASH	50	114	5	169	
1	ARO	ASHLAND	278	335	15	628	
1	ARO	BIG TWENTY TWP/T15 R15 WELS                                                                                                                           	1	1	0	2	
1	ARO	CARIBOU	2569	1473	47	4089	
1	ARO	CASTLE HILL	121	106	7	234	
1	ARO	CASWELL	80	61	8	149	
1	ARO	CROSS LAKE TWP (T17 R5)	48	71	2	121	
1	ARO	CYR PLT	29	23	1	53	
1	ARO	EAGLE LAKE	159	310	14	483	
1	ARO	FORT KENT	732	1418	37	2187	
1	ARO	FRENCHVILLE	253	360	13	626	
1	ARO	GARFIELD PLT	22	30	1	53	
1	ARO	GRAND ISLE	67	156	10	233	
1	ARO	HAMLIN	61	38	5	104	
1	ARO	LIMESTONE	450	353	9	812	
1	ARO	MADAWASKA	635	1526	85	2246	
1	ARO	MADAWASKA LAKE TWP (T16 R4)	64	44	0	108	
1	ARO	MAPLETON	668	455	32	1155	
1	ARO	MASARDIS	59	63	8	130	
1	ARO	NASHVILLE PLT	13	7	0	20	
1	ARO	NEW CANADA	59	105	0	164	
1	ARO	NEW SWEDEN	223	146	8	377	
1	ARO	OXBOW PLT	26	12	0	38	
1	ARO	PERHAM	137	62	8	207	
1	ARO	PORTAGE LAKE	117	135	8	260	
1	ARO	SAINT AGATHA	210	360	16	586	
1	ARO	SAINT FRANCIS	54	188	4	246	
1	ARO	SAINT JOHN PLT	57	109	1	167	
1	ARO	STOCKHOLM	94	61	2	157	
1	ARO	T12/R13 WELS/T9 R8 WELS                                                                                                                               	1	2	0	3	
1	ARO	T15 R6 TWP                                                                                                                                            	4	5	0	9	
1	ARO	T17 R3 VAN BUREN COVE TWP                                                                                                                             	15	9	0	24	
1	ARO	VAN BUREN	421	510	33	964	
1	ARO	WADE	96	49	1	146	
1	ARO	WALLAGRASS	78	215	8	301	
1	ARO	WASHBURN	495	336	33	864	
1	ARO	WESTMANLAND	32	16	1	49	
1	ARO	WINTERVILLE PLT	49	85	4	138	
1	ARO	WOODLAND	473	203	10	686	
1		STATE UOCAVA	18	37	7	62	
			9018	9589	443	19050	
							
			Carpenter, Michael E. 	Long, Ricky D. 	BLANK	TOTAL VOTES CAST	
			Houlton	Sherman			
			Democrat	Republican			
2	ARO	AMITY	56	65	3	124	
2	ARO	BLAINE	180	200	19	399	
2	ARO	BRIDGEWATER	169	140	4	313	
2	ARO	CARY PLT	51	64	3	118	
2	ARO	CHAPMAN	153	113	13	279	
2	ARO	CRYSTAL	42	101	6	149	
2	ARO	DYER BROOK	64	82	4	150	
2	ARO	E TWP                                                                                                                                                 	17	17	1	35	
2	ARO	EASTON	359	315	15	689	
2	ARO	FORT FAIRFIELD	995	636	73	1704	
2	ARO	GLENWOOD PLT	2	0	0	2	
2	ARO	HAMMOND	30	19	1	50	
2	ARO	HAYNESVILLE	23	26	1	50	
2	ARO	HERSEY	11	22	1	34	
2	ARO	HODGDON	331	341	18	690	
2	ARO	HOULTON	1726	984	62	2772	
2	ARO	ISLAND FALLS	150	265	4	419	
2	ARO	LINNEUS	221	243	18	482	
2	ARO	LITTLETON	263	237	9	509	
2	ARO	LUDLOW	128	104	2	234	
2	ARO	MACWAHOC PLT	16	26	2	44	
2	ARO	MARS HILL	356	391	35	782	
2	ARO	MERRILL	69	66	2	137	
2	ARO	MOLUNKUS TWP                                                                                                                                          	26	21	1	48	
2	ARO	MONTICELLO	257	164	4	425	
2	ARO	MORO PLT	3	20	4	27	
2	ARO	NEW LIMERICK	181	162	4	347	
2	ARO	OAKFIELD	193	182	17	392	
2	ARO	ORIENT	35	49	5	89	
2	ARO	PRESQUE ISLE	2576	1712	137	4425	
2	ARO	REED PLT	32	44	3	79	
2	ARO	SHERMAN	181	455	11	647	
